标题,来源,时间,问题,回答
报考,xi*** (黑龙江),2009-06-23 09:11,我是黑龙江理科估分520，二批次A，二批次B，均报贵校，那个有希望,录取前无法预测。
专业调剂,mr*** (云南),2009-06-22 15:53,请问老师:填服从专业调剂，会调剂到最冷门、分数最低的专业吗？贵校对填服从专业调剂的考生是如何进行专业调剂的？谢谢！,录取专业时，按照专业级差的方式录取，专业级差为3分。即第一和第二专业志愿级差为3分，依此类推。所有专业志愿都无法满足的，如果服从专业调剂，将调剂到相应计划未满专业；如果不服从调剂，做退档处理。
山东艺术类,su***4 (山东),2009-06-22 14:50,老师，文化480分，报考贵校把握有多少,录取前无法预测。
咨询,su***4 (山东),2009-06-22 12:44,老师，去年东北大学录取的山东省艺术类考生中的综合分数最高的是多少，就是文化和专业相加后的最高分是多少,[我校艺术类专业录取办法：如考生生源省份在我校录取批次划定专业成绩控制线，则考生专业成绩必须达到该控制线，我校在省级招办投放的考生电子档案范围内，按照考生文化成绩从高分到低分择优录取；如考生生源省份在我校录取批次未划定专业成绩控制线，则考生专业成绩必须达到生源省份专业统考合格标准，我校在省级招办投放的考生电子档案范围内，按照考生文化成绩从高分到低分择优录取。请登陆http://zhaosheng.nefu.edu.cn/lnzl/查询“历年资料”。
劳驾,wj*** (河南),2009-06-15 16:31,请问贵校的强势学科和特色专业是什么？焦急等待。。。,[我校现有2个一级学科国家重点学科（涵盖10个二级学科）、2个二级学科国家重点学科、6个国家林业局重点学科、2个黑龙江省重点学科群、4个黑龙江省重点一级学科和15个黑龙江省重点二级学科。学科体系完备，重点突出，形成了以国家重点学科、部级重点学科和博士点学科为龙头，其他学科为基础的学科体系。学校是国家批准的首批具有博士学位、硕士学位授予权单位，拥有教授、副教授、博士研究生导师任职资格审定权。学校多年来为国家培养大量高层次专门人才。一级学科国家重点学科林学：林木遗传育种森林培育森林保护学森林经理学野生动植物保护与利用园林植物与观赏园艺水土保持与荒漠化防治林业工程：森林工程木材科学与技术林产化学加工工程二级学科国家重点学科植物学生态学林木遗传育种森林培育森林经理学园林植物与观赏园艺林产化学加工工程林业经济管理省重点学科群林学生物质材料科学与技术省重点一级学科生物学林学林业工程农林经济管理省重点二级学科人口资源与环境经济学高分子化学与物理细胞生物学生物化学与分子生物学计算机应用技术林产化学加工工程生物材料工程林木遗传育种森林培育森林经理学园林植物与观赏园艺水土保持与荒漠化防治生药学企业管理会计学
二表B咨询,ji*** (黑龙江),2009-06-15 16:26,请问贵校二表B是否单独编班，单独授课？？,请咨询0451-82190346.
再咨询,je***re (河南),2009-06-15 16:15,麻烦您了，根据这一段咨询情况来看，美术考生统考专业225，文化估分500左右，是否有希望报贵校？,录取前无法预测，请登陆http://zhaosheng.nefu.edu.cn/lnzl/“历年资料”查询，仅供参考。
询问,zh***1 (河北),2009-06-15 16:14,河北联考分386，文化要考多少分，能考上你校,录取前无法预测，请登陆http://zhaosheng.nefu.edu.cn/lnzl/“历年资料”查询，仅供参考。
咨询,da*** (吉林),2009-06-15 16:01,老师你好，我们吉林省今年实行完全平行志愿，我想咨询一下贵校投档比例，如果我符合投档条件，已经被投档至贵校，且服从调剂，但排名靠后，是否会被退档？贵校是否有双学位培养计划？什么规定？是否允许转系？,[我校为本科第一批录取院校。调阅考生档案的比例控制在我校在各省（自治区、直辖市）招生计划数的120%以内。在此范围内，由我校根据考生的高考分数、专业志愿、综合素质、身体健康状况以及相关单科成绩等情况择优录取。院校志愿录取采用志愿清，按志愿优先原则确定考生的录取顺序。录取专业时，按照专业级差的方式录取，专业级差为3分。即第一和第二专业志愿级差为3分，依此类推。所有专业志愿都无法满足的，如果服从专业调剂，将调剂到相应计划未满专业；如果不服从调剂，做退档处理。
关于二表二志愿的问题,wa***yuan (黑龙江),2009-06-15 15:44,老师你好贵校二批次A是否招收第二志愿的考生有无志愿极差。,如果一志愿完成招生计划就不招收二志愿考生。
咨询11,to***6789 (黑龙江),2009-06-15 15:34,我今年的分数在480到500分之间，请问是否有希望去贵校二表（我是文科生），谢谢,录取前无法预测，请登陆http://zhaosheng.nefu.edu.cn/lnzl/“历年资料”查询，仅供参考。
加分,ki*** (河南),2009-06-15 15:24,河南考生报考贵校，能否加20分？若加，是否针对所有专业？,我校认可河南省招办规定第一志愿报考农林院校的考生可以加20分，但在专业录取时按原始分进行。
报考,ya***2009 (辽宁),2009-06-14 16:35,我是辽宁考生估分555想报贵校机械设计及制造请问能否被录取辽宁高考一本线预计为510——520,录取前无法预测，请登陆http://zhaosheng.nefu.edu.cn/lnzl/“历年资料”查询，仅供参考。
再咨询（河南艺术）,je***re (河南),2009-06-14 16:05,麻烦您了，根据这一段咨询情况来看，美术考生统考专业225，文化估分500左右，是否有希望报贵校？,录取前无法预测，请登陆http://zhaosheng.nefu.edu.cn/lnzl/“历年资料”查询，仅供参考。
您好!我是河南考生，高考估分560，能否上贵校?,ti***hiyan (河南),2008-06-23 16:39,急盼!!!!!!!!!!,无法预测
预科问题,zh*** (四川),2008-06-23 16:15,我是少数民族考生.请问2007贵校本预在四川的招生分数(最高分.最低分.平均分).2008在四川的计划数.谢谢.,请查询贵省编制的招生计划。
艺术类,ty*** (河北),2008-06-23 15:51,美术378文化351报贵校是否有希望?,录取前无法预测
好,10***7 (吉林),2008-06-23 15:45,吉林高一本线30分报贵校平行志愿，有机会被录取吗,录取前无法预测
预科,yu***eizhi (河北),2008-06-23 15:25,您好，请问贵校在河北有预科班的招生计划吗？,没有
上贵校后能重新选专业吗？,li***w1 (山西),2008-06-23 14:04,上贵校后能重新选专业吗？,学习成绩优秀者，即加权平均成绩排序在本专业前5％以内，且无不合格成绩、无处分的学生，可申请在学校规定的同类专业范围内转专业。
紧急,li***w1 (山西),2008-06-23 13:56,有专业差吗贵校,专业级差为3分。
您好！,85*** (湖南),2008-06-23 11:20,请问贵校是否承认河南省关于农林院校加20分投档的政策,请咨询0451-82190346
咨询,ni***r (河北),2008-06-23 10:37,我是河北的理科554，河北一本552，我有十分加分一志愿报贵校且服从调剂，希望多大？,录取前无法预测。
西藏的汉族考生,wa***719 (西藏),2008-06-23 09:59,我是西藏的汉族考生，请问今年文史类够多少分才能被贵校录取?,录取前无法预测。
谢谢老师！,sh***2 (黑龙江),2008-06-20 16:54,贵校会计学二表B只招收8人请问这8人是和二表A安排在一起么,二批A没有会计学专业。
2表B！急切咨询！谢谢老师啦！,ci***a226 (黑龙江),2008-06-20 16:52,文科考生，想报贵校2表B估分在470到480有希望吗？,录取前无法预测。
加急,ev*** (黑龙江),2008-06-20 16:21,06年贵校二表B都有什么专业?各招多少人?各专业是多少分?485想进贵校二表B好专业有希望吗?理科.谢谢!,请登陆http://zhaosheng.nefu.edu.cn/查询历年录取分数，录取前无法预测。
咨询！,08*** (黑龙江),2008-06-20 12:10,我是黑龙江省文科考生，估分497分，能否走咱们学校的日语专业？去年的日语专业录取的最低分数和本科线都是多少啊？,很抱歉，暂时无法预测。
咨询,19*** (黑龙江),2008-06-20 10:55,你好，请问贵校去年是否招收一表二志愿的考生了，分数是多少?谢谢.,具体情况要看一志愿完成情况。
咨询,ai***ijing (黑龙江),2008-06-18 15:54,请问老师:东北林业大学的电话号码是多少，谢谢,0451-82190346
咨询,xi*** (黑龙江),2008-06-18 15:38,你好！我是黑龙江考生！请问贵校招收1表2志愿的考生吗？,是否招收二志愿生源要看一志愿录取情况。
咨询,33*** (黑龙江),2008-06-18 15:32,请问二表的自动化专业是强电还是弱电,请电话咨询0451-82190643，82190399
查问号码,ai***ijing (黑龙江),2008-06-18 15:21,请问:贵校的电话号码是多少,0451-82190346
问,zz*** (黑龙江),2008-06-18 15:18,二表B联合办学的教学内容是否和普通二表一样?单独编班吗？毕业证有区别吗是否必需出国？,合作办学情况请电话咨询0451-82190346
咨询,gu*** (黑龙江),2008-06-18 14:34,老师您好:理科估470，报考贵校二表联合办学，有希望么.谢谢,很抱歉，暂时无法预测。
谢谢,ya*** (黑龙江),2008-06-18 13:56,老师好，我想请问２表Ｂ往年的录取开过第２志愿吗？谢谢,是否招收二志愿生源要看一志愿录取情况。不能完全按照往年的情况参考。
您好,ma*** (黑龙江),2008-06-18 13:33,我是黑龙江考生理科估分552能上贵校吗谢谢,很抱歉，暂时无法预测
您好,ma*** (黑龙江),2008-06-18 13:28,我是本省考生，我估了552分，能上贵校吗？谢谢,很抱歉，暂时无法预测
加急！,zz*** (黑龙江),2008-06-18 13:28,你好！我是本省理科生，估分正好是去年的2B线上，今年是多少分能投档有希望吗？谢谢``,很抱歉，暂时无法预测
咨询,ga*** (黑龙江),2008-06-18 12:54,老师您好：我是黑龙江考生我估的分数550左右，上贵校的电气工程及其自动化专业有希望吗,很抱歉，暂时无法预测
同,ya***ing (黑龙江),2008-06-18 11:01,理科估分485分报贵校二表b有希望吗?,很抱歉，暂时无法预测。
老师您好,wa*** (黑龙江),2008-06-18 10:54,同一专业的学生，普通学生和上中外合作办学的学生是否分开学习，在学程安排上是不是一样？谢谢您,合作办学情况请电话咨询0451-82190346
老师您好,wa*** (黑龙江),2008-06-18 10:26,上２表Ｂ的学生单独分在一个班吗，平时的学程安排和普通的学生有什么区别？,大学是按照专业授课，不同专业性质学生无法在一起教学。
同,ya***ing (黑龙江),2008-06-18 09:22,报考贵校二表b必须出国吗?,合作办学情况请电话咨询0451-82190346
走进贵校,08*** (黑龙江),2008-06-26 09:21,各位老师你们好：我是黑龙江的考生，打了571分，一表二报的贵校，而且未服从调剂，我很想知道是否能被贵校录取！谢谢老师！此致敬礼！,很抱歉，录取前无法预测
山东文科596分,ms*** (山东),2008-06-26 09:20,我是山东文科考生，高出一本线12分，报考贵校录取几率有多大？,很抱歉，录取前无法预测
你好,li*** (河南),2008-06-26 09:19,我是河南理科考生，考了553分，报了贵校园林专业，请问能否被降分录取,很抱歉，录取前无法预测
谢谢,zh***daxue (重庆),2008-06-26 09:12,你们学校的优势学科有？国家重点学科有？今年重庆重点线544，若考生551可一定上你们大学吗?,http://zhaosheng.nefu.edu.cn/article/show.asp?id=218很抱歉，录取前无法预测
美术,zh***14 (山东),2008-06-25 16:15,我艺术文专业是20名，文化课400分，有希望上贵校么？,暂时无法预测
录取,li***82 (黑龙江),2008-06-25 15:58,老师您好:请问黑龙江文科考生444分，是否有希望被贵校三表录取?,我校无三表招生计划
考研,pi*** (山东),2008-06-25 15:26,请问工科专业哪些有硕士点？多少？考研率多少,请电话咨询0451-82190710
录取,pe***20 (山东),2008-06-25 14:57,老师好，我是山东考生，我考了591分，高出一本线9分，报贵校有把握吗？贵校今年在山东的录取分数估计为多少呢？谢谢。,暂时无法预测
咨询,xd*** (黑龙江),2008-06-25 14:08,文科438分，另有10分加分.有无可能进贵校三表?谢谢.,我校无三表招生计划
咨询,ra*** (江苏),2008-06-25 14:02,江苏考生。特征分337。投档分367。物化双B+。排名36267。请问有望报考贵校吗？,暂时无法预测。
旅游管理专业,37*** (山东),2008-06-25 13:13,贵校在山东招收该专业吗?我是文科生，分数比一本线高23分，报考该专业的把握大吗?谢谢!,有招生计划，一志愿报考有可能。
深谢,pe***n (湖南),2008-06-25 11:31,各位教授上午好！！请问：贵校在湖南是否有招生计划？往年录取分数是多少？是否招专科？能否专升本！！谢谢,08招生计划请登陆http://zhaosheng.nefu.edu.cn/zsjh/查看
艺术类,bs*** (山东),2008-06-25 11:11,老师您好：美术专业分152.6分，文化课456分，能否被贵校录取？,很抱歉，无法预测
山东文科553报考贵校专科专业有希望吗？,da*** (山东),2008-06-25 11:00,山东文科553报考贵校专科专业有希望吗？报考时，专业服从调剂，请问有希望吗？,我校08年在山东专科无文史类专业招生计划
高水平运动员招生，急！,20*** (吉林),2008-06-25 10:18,招办老师：你好！我是吉林省考生刘畅，已获得贵校高水平学生运动员预备生源资格。今年吉林省一批录取线是569分；二批录取线是493分。本人成绩是569分（含10加分）已达到你校一批次及高水平学生运动员预备生源文化课统考资格。本人第一批次平行志愿及第二批次第一志愿添报贵校，此报法妥否？同时，请贵校录取时注意！谢谢！,请电话咨询0451-82190346
老师好。我有关于2表B的问题？,63*** (黑龙江),2008-06-16 16:34,本省理科，470分有机会报考贵校2表B吗？谢谢了！今年贵校的最低分数线还是压省控线吗？,很抱歉，录取结束前无法预测录取结果
请问关于专业级差问题,nu*** (黑龙江),2008-06-16 16:23,是否应该把录取分数最高的专业放在第一位的位置，然后如果第一专业没有被录取后，在考试分数上减三分后再看是否够第二专业，以此类推？,请电话咨询0451-82190346
咨询,te*** (黑龙江),2008-06-16 15:57,黑龙江考生理科550分..二表专业有所选择..上贵校希望如何....如果不选择专业..情况又如何,很抱歉，录取前无法预测录取结果，录取是按照专业志愿录取，不选择专业是无法录取的。
请问，二表联办的问题,li***19919 (黑龙江),2008-06-16 15:26,请问二表联合办学毕业证与一表、二表的一样吗？在毕业时，毕业证和学位证有没有什么区别？比如，标注“联合办学”之类的语言。,合作办学情况请电话咨询0451-82190346
老师辛苦了！！！,pa***i65 (黑龙江),2008-06-16 14:04,老师您好！我是黑龙江省理科考生我想问一下贵校是否招收二表第二志愿的考生？是否有级差？去年是否开二表二志愿？谢谢老师！,是否招收二志愿要看一志愿录取情况，志愿级差为20分。
2表B和3表问题,ya***ong (黑龙江),2008-06-16 13:23,我是本省文科考生，估计分在440分，上贵校2表联合办学的日语专业有希望吗？07年该专业录取分数是多少？,很抱歉，录取结束前无法预测录取结果，往年录取分数请登陆http://zhaosheng.nefu.edu.cn/lnzl/查看。
提问,nu*** (黑龙江),2008-06-16 13:19,请问根据往年的情况文科二表B第一志愿是否能录满，请注意我说的是往年的情况，谢谢。我关心的是往年文科二表B第一志愿能否录满。,07年有招收二志愿考生。
森林我的家,pe*** (辽宁),2008-06-16 13:08,（文）文化350艺术专业课263（辽宁省统考成绩）不知道贵校承认吗？报贵学校有希望吗？去年的各分数段提档线是多少？谢谢英语小分有限制吗？希望老师给于一定程度的注意和回答。,我校在辽宁省艺术类专业录取原则为在省级招办投放的考生电子档案范围内，考生艺术类专业成绩达到所在省本科控制线，按考生文化成绩从高分到低分择优录取。往年录取情况请登陆http://zhaosheng.nefu.edu.cn/lnzl/查看，无单科成绩限制。
外省2表日语,af*** (黑龙江),2008-06-16 12:09,请问贵校2表日语专业在其他省招生是2表A么？？其他省是否招日语2表B？,日语专业请翻阅黑龙江省招生办编制的招生计划本144页
咨询,yp*** (黑龙江),2008-06-16 10:58,黑龙江理科预估500名左右能录到你校么？什么专业？二批B表能录么？什么专业？,很抱歉，录取分数暂时无法预测，招生计划请翻阅黑龙江省招生办编制的计划本144页
请问,49*** (黑龙江),2008-06-16 10:28,我是黑龙江文科考生，估分475，能否考上该校二表B？一年学费多少？预计二表B招生多少人？,请翻阅招生计划本144页。
专业级差,hx*** (辽宁),2008-06-16 10:23,老师你好！我是辽宁考生，请问贵校录取时专业级差是多少？,专业级差为3分
提问,nu*** (黑龙江),2008-06-16 10:05,请问，根据往年情况林大二表B是不是只录第一志愿的考生？文科484分报考林大二表B有希望吗？,是否招收二志愿要看一志愿的录取情况
咨询,82*** (辽宁),2008-06-16 10:03,老师好，我是辽宁考生。我想问一下，贵校工程管理专业是偏向交通还是民建的？想要报这个专业，分数高出一本线多少希望比较大？是按多少比例提档的？问题有些多，谢谢老师！o(∩_∩)o...,[培养目标、就业方向：本专业培养掌握土木工程设计、施工与管理的基本知识和技能，能在工程建设、房地产、投资与金融领域从事工程项目管理、工程咨询、建设监理、工程造价管理房地产经营管理的复合型高级管理人才。主干课程：工程力学、工程结构、建筑工程设计、道路与桥梁工程设计、土木工程施工技术、管理信息系统、运筹学、工程经济学、工程造价管理、工程预算、工程项目管理、国际工程管理、工程合同法律制度、房地产估价、房地产开发经营与管理、物业管理等。本专业招收理科考生，学制4年，授予管理学学士学位。咨询电话：0451-82190647，0451-82191040录取分数要根据实际录取情况才能确定，暂无法预测，提档比例为“调阅考生档案的比例控制在我校在各省（自治区、直辖市）招生计划数的120%以内”。
咨询,zu*** (黑龙江),2008-06-16 09:48,５００多分是否可以录取二表中的专业？,很抱歉，暂时无法预测
艺术问题,wo***iwen (河北),2008-06-20 10:01,我想问一下贵校的艺术学院属于几本,请查询贵省招生计划。
您好,qi*** (黑龙江),2008-06-20 09:57,请问贵校土木工程专业有二本么？,我校土木工程没有二批次招生计划。
文科咨询,su***0 (黑龙江),2008-06-20 09:03,老师您好，请问贵校在第一志愿不满的情况下是否招收第二志愿考生？,如果一志愿完成计划就不招收二志愿生源，志愿级差为20分。
最低分,ev***777 (黑龙江),2008-06-19 17:00,请问东林去年2表B的理科最低分是多少,我校2007年黑龙江省二批B理工类录取最低分数线为494分。
2志愿,ev***777 (黑龙江),2008-06-19 16:59,请问东北林业大学是否招收2志愿考生？,如果一志愿完成计划就不招收二志愿生源，志愿级差为20分。
咨询,92*** (黑龙江),2008-06-19 15:21,请问如果视力在500度左右，报考食品科学与工程，森林工程，林学专业录取是否有限制,请参考普通高等学校招生体检工作指导意见。
急问！,08*** (黑龙江),2008-06-19 14:43,老师，您好！我是黑龙江考生，文科，估分497左右，能走咱们学校的日语专业吗？,很抱歉，暂时无法预测。
2005~2007年，河北省，艺术理的录取分数线是多少分,lq*** (河北),2008-06-19 13:42,2005~2007年，河北省，艺术理的录取分数线是多少分?文化和专业分分别是多少?录取规则是什么?,请登陆http://zhaosheng.nefu.edu.cn/lnzl/查询，
请问,wa*** (黑龙江),2008-06-19 10:59,理工二表风景园林是今年新出的吗，为什么查不到去年的分数。谢谢。,园林（风景园林）去年没有在二批招生。
咨询,ji***hao (黑龙江),2008-06-19 10:34,贵校城市规划专业是否需要美术基础?,[培养目标、就业方向：本专业培养掌握建筑设计、城市规划、城市设计等方面基本知识和技能，能在建筑设计、城市规划、规划管理、决策咨询、房地产开发等部门从事规划设计与管理以及城市道路交通规划、市政工程规划、城市生态规划，并能参与城市社会与经济发展规划、区域规划、城市开发、房地产筹划以及相关政策法规研究的高级工程技术人才。主干课程：建筑设计、城市规划原理、城市规划、城市设计、城市发展史、区域规划、城市道路与交通、城市生态与环境保护、城市规划建设法规、城市规划管理等。本专业招收理科考生，学制5年，应具有一定的美术基础，授予工学学士学位。咨询电话：0451-82190647，0451-82192305
咨询,ji***hao (黑龙江),2008-06-19 10:31,老师您好。我是黑龙江理工考生，估分５８１－５８６有希望被贵校录取吗？若可以能被城市规划或土木工程之一专业录取吗？贵校有无级差？若有大约多少？,很抱歉，暂时无法预测。专业级差为3分。
thanks,se*** (黑龙江),2008-06-19 10:18,请问贵校是否有省内调剂的说法即分数高出黑龙江一本线50分报考省外学校未被录取本省部分学校能收这样的考生如果收那一定要在一志愿中填写本省的院校吗?谢谢!,我校没有省内调剂的说法
xie xie,l5*** (黑龙江),2008-06-19 10:17,本校07年所招收学生中文化课和专业课最低分数是多少？今年招生是按专业课过线从文化课上招收还是别的什么？贵校各专业在学习过程中受英语限制最大的是那个？贵校最成功的专业是那一个？我文化课320专业课153去贵校的几率有多大?,请登陆http://zhaosheng.nefu.edu.cn/lnzl/查询。
了,ya***ing (黑龙江),2008-06-19 09:45,请问你校07年二表b最和三表最低入取分数是多少?,我校2007年黑龙江省二批B文史类录取最低分数线为475分，理工类录取最低分数线为494分。2007年我校没有三批招生计划。
美术高考咨询,cj*** (湖南),2008-06-19 09:16,请问贵校在湖南的美术录取分数线是怎样的？谢谢,艺术类专业录取办法为：在省级招办投放的考生电子档案范围内，考生艺术类专业成绩达到所在省本科控制线，按考生文化成绩从高分到低分择优录取。
咨询,hu***23 (广西),2008-06-18 09:17,请问贵校在广西的招生具体的分数线怎么样?且如果刚刚上1本，且服从调剂?会不会被录取?今年您预计是大年还是小年?,很抱歉，暂时无法预测
您好老师,34*** (黑龙江),2008-06-18 09:01,理科470~480能被贵校二表B录取吗,很抱歉，暂时无法预测
咨询,92*** (黑龙江),2008-06-17 16:44,我是黑龙江理科考生，565分报考贵校的食品科学与工程，能否被录取,很抱歉，暂时无法预测
2表B,ya***ong (黑龙江),2008-06-17 16:40,请问老师2表B里的法学专业和法学（政治学与行政学）有什么不同？07年的录取线是多少？我是本省文科考生，估计分数在450分，能否有希望进这两个专业和日语专业？谢谢！,[往年录取分数情况请登陆http://zhaosheng.nefu.edu.cn/lnzl/查看，录取分数很抱歉，暂时无法预测法学专业介绍培养目标、就业方向：法学专业培养适应社会主义市场经济和法制建设需要的具有扎实的法学专业知识和敏捷的思辩能力的应用型法律专业人才。学生毕业后能够在国家机关、企事业单位、社会团体、仲裁机构和法律服务机构等单位从事法律工作，也可在高等学校从事教学、科研工作。主干课程：宪法学、刑法学、民法学、行政法学、经济法学、法理学、中国法制史、知识产权法学、商法学、民事诉讼法学、刑事诉讼法学、国际公法学、国际私法学、国际经济法学。本专业招收文科考生，学制4年，授予法学学士学位。本专业具有“环境与资源保护法学”硕士学位授予权。咨询电话：0451-82191614政治学与行政学专业介绍培养目标、就业方向：本专业培养具有一定马克思主义理论素养，具有政治学、行政管理学和人力资源管理学等方面的基本理论和知识，具有管理、组织、协调、社会沟通能力，掌握机关工作、档案管理技术、人力资源管理技巧、办公自动化技术，能在党政机关、企事业单位、社会团体等单位从事组织、宣传、行政管理和人力资源管理工作的应用型人才。本专业依托“马克思主义理论与思想政治教育”硕士学位、博士学位的授权点，为本科毕业的学生提供了进一步学习深造的平台。主干课程：政治学、管理学、行政管理学、公共政策学、公共事业管理学、行政法学、领导科学、人力资源管理学、社会调查与统计、办公自动化、电子政务等。本专业招收文科考生，学制4年，授予法学学士学位。咨询电话：0451-82191607
咨询,06***9 (黑龙江),2008-06-17 15:05,女生适合学林学吗？我估分在563到570之间能被贵校的什么专业录取（理工类）,很抱歉，是否能被录取暂时无法预测，专业要根据兴趣爱好特长选择，如招生计划中无性别要求，则男女都可以填报。
请问,83*** (黑龙江),2008-06-17 14:23,你好我估分540想报贵校有希望吗谢谢,很抱歉，暂时无法预测
疑问,fe*** (黑龙江),2008-06-17 12:56,请问贵校：为何网上显示的专业录取最低分数和08年省招生计划上的相差很大？如：省招生计划桑显示07年二批贵校理科最低是556分文科最低499分，网上显示的会计学专业最低分是375分，森林工程是512分，等等。这是什麽原因，贵校将作何解释？,网上信息请以我校公布为准，你所说的375分经我校查证为搜学网信息有误，现我校已知搜学网为新浪教育、腾讯网提供过错误数据，以上两个网站已更改错误信息。
您好,zh***dan (黑龙江),2008-06-17 12:49,我是黑龙江文科生估分450请问能否进入贵校二表日语专业该专业就业状况如何？谢谢,很抱歉，暂时无法预测。
二表b,zz*** (黑龙江),2008-06-17 12:26,请问贵校二表b07年最低录取分数是多少？谢谢！,文史475，理工494
如果高出,02*** (黑龙江),2008-06-17 10:43,如果高出二本线40分，但是报二志愿，影响录取吗?,我校近几年二本一志愿已完成招生计划。
咨询,10*** (黑龙江),2008-06-17 10:25,黑龙江省计划环境艺术招生多少人啊2007年文化课和统考成绩录取分数线是多少啊,招生计划请翻阅黑龙江省招生办公室编制的计划本，07年专业134分，文化文史440，理工470
询问,10*** (黑龙江),2008-06-17 10:22,2007年艺术本科文化课录取分数线是多少啊？,理工470，文史440
咨询,32*** (黑龙江),2008-06-17 10:06,老师您好，我是黑龙江理科考生，600分是否能被贵校一表二志愿录取？会是什么专业？谢谢。,是否招收二志愿生源要看一志愿录取情况。
0411急问老师:,19*** (黑龙江),2008-06-17 09:17,我是黑龙江理科女考生，估分为557-563分，并且还有华侨证，有希望被贵校1表录取吗?专业优势如何?,很抱歉，暂时无法预测
黑龙江艺术考生,lq***5 (黑龙江),2008-06-17 09:00,1、黑龙江艺术类美术文科考生，报考你校，艺术分155。文化课370是否可以录取，2、俄语考生可以报考吗？,很抱歉，录取结束前无法预测录取结果，没有语种限制
河北理科美术生,zh*** (河北),2008-06-25 09:59,老师，您好！我是一河北理科美术生很想报考贵校！我的文化分为398，专业分数为395，请问报考贵校有希望吗？希望有多大？还有贵校会不会在河北增加招生名额？老师辛苦了，谢谢！,暂时无法预测，按照计划录取。
河北理科美术生,zh*** (河北),2008-06-25 09:36,老师，您好！我是一河北理科美术生很想报考贵校。我的文化分数为398，专业分数为395，请问报考贵校有希望吗？希望有多大？老师辛苦了，谢谢！！,暂时无法预测
江苏AC的录取可能性,xi*** (江苏),2008-06-25 09:36,我们江苏填报本科一般要求有两个B，我的语数外总分356，政治A历史C，可以填报贵校吗？我的成绩和考两个B的考生成绩，你们如何对待？如何联系贵校在江苏的招生老师？,[为配合江苏省2008年实施新的高考方案，结合我校实际，特制定针对江苏省考生的录取原则，具体原则如下：普通类专业录取原则，各招生专业选测科目详见我校2008年在江苏省招生计划。对考生的学业水平测试的等级要求为选测B+B+、必测4C、技术科目合格。考生进档后的排序办法采用“先分数后等级”原则，对进档考生按投档分排序，当投档分相同时，再参考考生的学业水平测试等级排序。投档分数与学业水平测试等级均相同时按照数学、外语、语文顺序优先为单科原始成绩高者安排专业。艺术类录取原则，艺术类专业考试采用江苏省统考成绩，学校不再单独组织专业测试，考生进档后按照文化成绩从高分到低分择优录取，文化分相同时，再参考考生的学业水平测试等级排序。
老师您好,ji*** (山东),2008-06-25 09:35,我是山东考生，今年高考考了604分，高出一本分数线22分。请问被贵校录取的希望大吗？,一志愿报考有希望。
学分制,li*** (河北),2008-06-25 09:32,请问贵校专业是否为学分制？,关于学分制请电话咨询0451-82190499
专业问题  谢谢,qq*** (河北),2008-06-24 16:47,我想问一下，贵校的哪些专业较好，较好的专业中，又有哪些可以在相对较低的分数下（例如超一本线15分）报考。（如果有时间，请在此回答的具体些，最好别只给我一个网站地址，因为网叶上的有效信息少且不容易找）万分感谢！！！！！！,很抱歉，专业录取分数是根据考生实际报考情况决定的，在未录取前无法预测。
咨询！,12*** (贵州),2008-06-24 15:50,539分是否有希望被贵校的经济类的专业，或轻工类的专业录取？贵校的经济类的专业，或轻工类的专业录取实力如何？,很抱歉，无法预测
老师您好！,li*** (内蒙古),2008-06-24 12:01,我是内蒙理科考生，我今年分数是566，报考咱校的电气工程有希望吗?,很抱歉，暂时无法回答。
分数线,31*** (河北),2008-06-24 11:26,请问河北文科考生超一本分数线多少分报贵校有把握，谢谢.,很抱歉，暂时无法预测，07年我校文科高出一本线5分。
广西考生询问,40*** (广西),2008-06-24 11:14,请问贵校是否录取非第一志愿考生，志愿分数差级是多少，对优惠加分的处理及专业级差分.谢谢,是否招收二志愿考生要看一志愿完成情况。志愿级差为20分。专业级差为3分。
艺术文河北咨询,lj*** (河北),2008-06-24 10:51,我是河北考生想问贵校去年录取河北考生是专业加文化的中分没,是文化课的总分。
不要怕麻烦,zh*** (四川),2008-06-24 10:24,我在网上或招生办能查到信息还会来麻烦您吗．请再次回答（我是少数民族考生文科.请问2007贵校本预在四川的招生分数(最高分.最低分.平均分).2008在四川的计划数．谢谢）,08年在川计划招收文史类少数民族预科生2名，07年文史最高分519，最低分503，平均分511。
加急,zh***388 (吉林),2008-06-24 10:18,吉林考生587分报考贵校能被录取吗？,一志愿报考，有可能。
定向生,zh***n (云南),2008-06-24 09:43,对定向生有什么限制吗？招复读生吗？,根据国家政策，只招收应届生。
592,ya*** (河北),2008-06-23 16:52,我考了592。有把握报考贵校吗,一志愿报考有可能。
2表B,af*** (黑龙江),2008-06-16 09:46,我是黑龙江考生请问贵校2表B财会专业在本省去年录取分数线??去年招录名额?今年计划招多少?招录之后是否必须出国?是否单独编班??,合作办学情况请电话咨询0451-82190346
咨询,yo*** (黑龙江),2008-06-16 09:26,我估的分数是510左右（文史黑龙江考生）请问能否被贵校的俄语专业录取,很抱歉，暂时无法预测
谢谢,13***31 (黑龙江),2008-06-16 09:22,我是理科考生，估分600到610，将贵校作为第二志愿，请问能进生物科学专业吗,是否招收二志愿要看一志愿录取情况，暂时无法预测
问,fe***1 (黑龙江),2008-06-13 16:47,该校中外联合办学日语专业历年录取分数线在哪可以看到?,请电话0451-82190346咨询。
